Record Length,40000,,Source,CH1
Sample Interval,CH1:0.0003999999899,,Second,Volt
,,,2.215199947,0.5
,,,2.215600014,0.48
,,,2.215999842,0.48
,,,2.216399908,0.48
,,,2.216799974,0.48
,,,2.217200041,0.48
,,,2.217599869,0.48
,,,2.217999935,0.48
,,,2.218400002,0.48
,,,2.218799829,0.48
,,,2.219199896,0.5
,,,2.219599962,0.48
,,,2.220000029,0.5
,,,2.220399857,0.5
,,,2.220799923,0.5
,,,2.221199989,0.48
,,,2.221600056,0.5
,,,2.221999884,0.5
,,,2.22239995,0.5
,,,2.222800016,0.48
,,,2.223199844,0.52
,,,2.223599911,0.48
,,,2.223999977,0.48
,,,2.224400043,0.5
,,,2.224799871,0.48
,,,2.225199938,0.48
,,,2.225600004,0.48
,,,2.225999832,0.5
,,,2.226399899,0.48
,,,2.226799965,0.48
,,,2.227200031,0.48
,,,2.227599859,0.5
,,,2.227999926,0.48
,,,2.228399992,0.5
,,,2.228800058,0.48
,,,2.229199886,0.48
,,,2.229599953,0.5
,,,2.230000019,0.5
,,,2.230399847,0.5
,,,2.230799913,0.5
,,,2.23119998,0.5
,,,2.231600046,0.48
,,,2.231999874,0.5
,,,2.23239994,0.48
,,,2.232800007,0.5
,,,2.233199835,0.5
,,,2.233599901,0.48
,,,2.233999968,0.5
,,,2.234400034,0.48
,,,2.234799862,0.48
,,,2.235199928,0.5
,,,2.235599995,0.48
,,,2.236000061,0.48
,,,2.236399889,0.48
,,,2.236799955,0.48
,,,2.237200022,0.48
,,,2.23759985,0.48
,,,2.237999916,0.48
,,,2.238399982,0.48
,,,2.238800049,0.5
,,,2.239199877,0.48
,,,2.239599943,0.5
,,,2.24000001,0.5
,,,2.240399837,0.5
,,,2.240799904,0.5
,,,2.24119997,0.48
,,,2.241600037,0.48
,,,2.241999865,0.5
,,,2.242399931,0.48
,,,2.242799997,0.5
,,,2.243199825,0.48
,,,2.243599892,0.48
,,,2.243999958,0.48
,,,2.244400024,0.5
,,,2.244799852,0.5
,,,2.245199919,0.5
,,,2.245599985,0.48
,,,2.246000052,0.48
,,,2.246399879,0.48
,,,2.246799946,0.48
,,,2.247200012,0.5
,,,2.24759984,0.48
,,,2.247999907,0.48
,,,2.248399973,0.5
,,,2.248800039,0.5
,,,2.249199867,0.48
,,,2.249599934,0.48
,,,2.25,0.48
,,,2.250399828,0.48
,,,2.250799894,0.48
,,,2.251199961,0.48
,,,2.251600027,0.5
,,,2.251999855,0.48
,,,2.252399921,0.48
,,,2.252799988,0.5
,,,2.253200054,0.48
,,,2.253599882,0.5
,,,2.253999949,0.5
,,,2.254400015,0.5
,,,2.254799843,0.5
,,,2.255199909,0.5
,,,2.255599976,0.48
,,,2.256000042,0.48
,,,2.25639987,0.48
,,,2.256799936,0.5
,,,2.257200003,0.48
,,,2.257599831,0.48
,,,2.257999897,0.48
,,,2.258399963,0.5
,,,2.25880003,0.48
,,,2.259199858,0.48
,,,2.259599924,0.48
,,,2.25999999,0.48
,,,2.260400057,0.48
,,,2.260799885,0.48
,,,2.261199951,0.48
,,,2.261600018,0.48
,,,2.261999846,0.5
,,,2.262399912,0.48
,,,2.262799978,0.5
,,,2.263200045,0.48
,,,2.263599873,0.5
,,,2.263999939,0.5
,,,2.264400005,0.5
,,,2.264799833,0.5
,,,2.2651999,0.48
,,,2.265599966,0.48
,,,2.266000032,0.5
,,,2.26639986,0.5
,,,2.266799927,0.48
,,,2.267199993,0.5
,,,2.26760006,0.48
,,,2.267999887,0.5
,,,2.268399954,0.48
,,,2.26880002,0.48
,,,2.269199848,0.5
,,,2.269599915,0.5
,,,2.269999981,0.48
,,,2.270400047,0.5
,,,2.270799875,0.5
,,,2.271199942,0.5
,,,2.271600008,0.5
,,,2.271999836,0.5
,,,2.272399902,0.5
,,,2.272799969,0.48
,,,2.273200035,0.48
,,,2.273599863,0.5
,,,2.273999929,0.5
,,,2.274399996,0.48
,,,2.274799824,0.5
,,,2.27519989,0.48
,,,2.275599957,0.5
,,,2.276000023,0.48
,,,2.276399851,0.48
,,,2.276799917,0.48
,,,2.277199984,0.48
,,,2.27760005,0.48
,,,2.277999878,0.5
,,,2.278399944,0.5
,,,2.278800011,0.52
,,,2.279199839,0.48
,,,2.279599905,0.5
,,,2.279999971,0.48
,,,2.280400038,0.5
,,,2.280799866,0.5
,,,2.281199932,0.48
,,,2.281599998,0.48
,,,2.281999826,0.5
,,,2.282399893,0.5
,,,2.282799959,0.5
,,,2.283200026,0.48
,,,2.283599854,0.48
,,,2.28399992,0.48
,,,2.284399986,0.5
,,,2.284800053,0.5
,,,2.285199881,0.48
,,,2.285599947,0.5
,,,2.286000013,0.5
,,,2.286399841,0.48
,,,2.286799908,0.48
,,,2.287199974,0.52
,,,2.28760004,0.48
,,,2.287999868,0.5
,,,2.288399935,0.5
,,,2.288800001,0.48
,,,2.289199829,0.48
,,,2.289599895,0.48
,,,2.289999962,0.5
,,,2.290400028,0.5
,,,2.290799856,0.5
,,,2.291199923,0.5
,,,2.291599989,0.5
,,,2.292000055,0.48
,,,2.292399883,0.48
,,,2.29279995,0.5
,,,2.293200016,0.48
,,,2.293599844,0.48
,,,2.29399991,0.48
,,,2.294399977,0.48
,,,2.294800043,0.48
,,,2.295199871,0.48
,,,2.295599937,0.5
,,,2.296000004,0.48
,,,2.296399832,0.48
,,,2.296799898,0.5
,,,2.297199965,0.5
,,,2.297600031,0.48
,,,2.297999859,0.48
,,,2.298399925,0.48
,,,2.298799992,0.48
,,,2.299200058,0.5
,,,2.299599886,0.48
,,,2.299999952,0.48
,,,2.300400019,0.48
,,,2.300799847,0.5
,,,2.301199913,0.5
,,,2.301599979,0.5
,,,2.302000046,0.5
,,,2.302399874,0.48
,,,2.30279994,0.48
,,,2.303200006,0.48
,,,2.303599834,0.5
,,,2.303999901,0.5
,,,2.304399967,0.5
,,,2.304800034,0.5
,,,2.305199862,0.48
,,,2.305599928,0.48
,,,2.305999994,0.5
,,,2.306400061,0.48
,,,2.306799889,0.48
,,,2.307199955,0.5
,,,2.307600021,0.5
,,,2.307999849,0.5
,,,2.308399916,0.5
,,,2.308799982,0.48
,,,2.309200048,0.48
,,,2.309599876,0.48
,,,2.309999943,0.48
,,,2.310400009,0.5
,,,2.310799837,0.5
,,,2.311199903,0.48
,,,2.31159997,0.48
,,,2.312000036,0.52
,,,2.312399864,0.48
,,,2.312799931,0.5
,,,2.313199997,0.5
,,,2.313599825,0.5
,,,2.313999891,0.48
,,,2.314399958,0.5
,,,2.314800024,0.5
,,,2.315199852,0.5
,,,2.315599918,0.48
,,,2.315999985,0.48
,,,2.316400051,0.5
,,,2.316799879,0.5
,,,2.317199945,0.48
,,,2.317600012,0.5
,,,2.31799984,0.48
,,,2.318399906,0.5
,,,2.318799973,0.5
,,,2.319200039,0.48
,,,2.319599867,0.5
,,,2.319999933,0.5
,,,2.3204,0.5
,,,2.320799828,0.5
,,,2.321199894,0.48
,,,2.32159996,0.5
,,,2.322000027,0.48
,,,2.322399855,0.48
,,,2.322799921,0.48
,,,2.323199987,0.5
,,,2.323600054,0.5
,,,2.323999882,0.5
,,,2.324399948,0.48
,,,2.324800015,0.48
,,,2.325199842,0.5
,,,2.325599909,0.5
,,,2.325999975,0.5
,,,2.326400042,0.48
,,,2.32679987,0.5
,,,2.327199936,0.48
,,,2.327600002,0.5
,,,2.32799983,0.48
,,,2.328399897,0.48
,,,2.328799963,0.48
,,,2.329200029,0.48
,,,2.329599857,0.48
,,,2.329999924,0.48
,,,2.33039999,0.5
,,,2.330800056,0.48
,,,2.331199884,0.48
,,,2.331599951,0.5
,,,2.332000017,0.5
,,,2.332399845,0.48
,,,2.332799912,0.48
,,,2.333199978,0.48
,,,2.333600044,0.5
,,,2.333999872,0.48
,,,2.334399939,0.48
,,,2.334800005,0.48
,,,2.335199833,0.48
,,,2.335599899,0.5
,,,2.335999966,0.48
,,,2.336400032,0.48
,,,2.33679986,0.48
,,,2.337199926,0.5
,,,2.337599993,0.5
,,,2.338000059,0.48
,,,2.338399887,0.48
,,,2.338799953,0.48
,,,2.33920002,0.5
,,,2.339599848,0.48
,,,2.339999914,0.48
,,,2.340399981,0.48
,,,2.340800047,0.52
,,,2.341199875,0.48
,,,2.341599941,0.5
,,,2.342000008,0.48
,,,2.342399836,0.48
,,,2.342799902,0.48
,,,2.343199968,0.5
,,,2.343600035,0.5
,,,2.343999863,0.5
,,,2.344399929,0.5
,,,2.344799995,0.5
,,,2.345199823,0.5
,,,2.34559989,0.5
,,,2.345999956,0.5
,,,2.346400023,0.5
,,,2.34679985,0.48
,,,2.347199917,0.48
,,,2.347599983,0.5
,,,2.34800005,0.48
,,,2.348399878,0.5
,,,2.348799944,0.48
,,,2.34920001,0.48
,,,2.349599838,0.48
,,,2.349999905,0.48
,,,2.350399971,0.48
,,,2.350800037,0.5
,,,2.351199865,0.48
,,,2.351599932,0.5
,,,2.351999998,0.48
,,,2.352399826,0.48
,,,2.352799892,0.5
,,,2.353199959,0.48
,,,2.353600025,0.5
,,,2.353999853,0.48
,,,2.35439992,0.5
,,,2.354799986,0.48
,,,2.355200052,0.5
,,,2.35559988,0.48
,,,2.355999947,0.5
,,,2.356400013,0.5
,,,2.356799841,0.48
,,,2.357199907,0.48
,,,2.357599974,0.52
,,,2.35800004,0.5
,,,2.358399868,0.48
,,,2.358799934,0.5
,,,2.359200001,0.48
,,,2.359599829,0.48
,,,2.359999895,0.48
,,,2.360399961,0.48
,,,2.360800028,0.5
,,,2.361199856,0.48
,,,2.361599922,0.48
,,,2.361999989,0.48
,,,2.362400055,0.5
,,,2.362799883,0.48
,,,2.363199949,0.48
,,,2.363600016,0.48
,,,2.363999844,0.5
,,,2.36439991,0.48
,,,2.364799976,0.48
,,,2.365200043,0.48
,,,2.365599871,0.5
,,,2.365999937,0.48
,,,2.366400003,0.48
,,,2.366799831,0.5
,,,2.367199898,0.48
,,,2.367599964,0.5
,,,2.368000031,0.48
,,,2.368399858,0.48
,,,2.368799925,0.5
,,,2.369199991,0.48
,,,2.369600058,0.48
,,,2.369999886,0.48
,,,2.370399952,0.48
,,,2.370800018,0.48
,,,2.371199846,0.5
,,,2.371599913,0.48
,,,2.371999979,0.48
,,,2.372400045,0.48
,,,2.372799873,0.48
,,,2.37319994,0.48
,,,2.373600006,0.48
,,,2.373999834,0.5
,,,2.3743999,0.48
,,,2.374799967,0.48
,,,2.375200033,0.48
,,,2.375599861,0.5
,,,2.375999928,0.5
,,,2.376399994,0.48
,,,2.376799822,0.48
,,,2.377199888,0.48
,,,2.377599955,0.5
,,,2.378000021,0.52
,,,2.378399849,0.48
,,,2.378799915,0.48
,,,2.379199982,0.48
,,,2.379600048,0.5
,,,2.379999876,0.48
,,,2.380399942,0.5
,,,2.380800009,0.48
,,,2.381199837,0.5
,,,2.381599903,0.5
,,,2.381999969,0.5
,,,2.382400036,0.48
,,,2.382799864,0.5
,,,2.38319993,0.48
,,,2.383599997,0.5
,,,2.383999825,0.5
,,,2.384399891,0.48
,,,2.384799957,0.48
,,,2.385200024,0.5
,,,2.385599852,0.5
,,,2.385999918,0.5
,,,2.386399984,0.48
,,,2.386800051,0.48
,,,2.387199879,0.5
,,,2.387599945,0.48
,,,2.388000011,0.5
,,,2.388399839,0.48
,,,2.388799906,0.5
,,,2.389199972,0.48
,,,2.389600039,0.5
,,,2.389999866,0.5
,,,2.390399933,0.48
,,,2.390799999,0.5
,,,2.391199827,0.48
,,,2.391599894,0.48
,,,2.39199996,0.48
,,,2.392400026,0.48
,,,2.392799854,0.48
,,,2.393199921,0.5
,,,2.393599987,0.5
,,,2.394000053,0.5
,,,2.394399881,0.48
,,,2.394799948,0.48
,,,2.395200014,0.48
,,,2.395599842,0.48
,,,2.395999908,0.48
,,,2.396399975,0.48
,,,2.396800041,0.5
,,,2.397199869,0.5
,,,2.397599936,0.48
,,,2.398000002,0.5
,,,2.39839983,0.5
,,,2.398799896,0.48
